  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 24112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   4.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.7751   0.01018   0.00441   0.0002   0.6361   0.0135
  -7.900  -0.7643   0.01010   0.00432   0.0003   0.6306   0.0137
  -7.800  -0.7535   0.01005   0.00424   0.0004   0.6222   0.0138
  -7.700  -0.7427   0.00999   0.00415   0.0005   0.6140   0.0140
  -7.600  -0.7319   0.00993   0.00407   0.0006   0.6060   0.0141
  -7.500  -0.7210   0.00987   0.00400   0.0007   0.5980   0.0142
  -7.400  -0.7102   0.00982   0.00392   0.0008   0.5894   0.0144
  -7.300  -0.6993   0.00977   0.00384   0.0009   0.5817   0.0145
  -7.200  -0.6884   0.00972   0.00377   0.0010   0.5748   0.0146
  -7.100  -0.6775   0.00966   0.00369   0.0011   0.5661   0.0148
  -7.000  -0.6666   0.00961   0.00361   0.0012   0.5584   0.0150
  -6.900  -0.6558   0.00955   0.00354   0.0013   0.5508   0.0152
  -6.800  -0.6449   0.00949   0.00347   0.0014   0.5438   0.0154
  -6.700  -0.6339   0.00944   0.00339   0.0015   0.5362   0.0156
  -6.600  -0.6230   0.00939   0.00333   0.0016   0.5292   0.0159
  -6.500  -0.6120   0.00934   0.00326   0.0016   0.5227   0.0162
  -6.400  -0.6010   0.00930   0.00320   0.0017   0.5168   0.0164
  -6.300  -0.5900   0.00925   0.00313   0.0018   0.5105   0.0166
  -6.200  -0.5790   0.00921   0.00307   0.0019   0.5044   0.0167
  -6.100  -0.5679   0.00916   0.00301   0.0019   0.4990   0.0169
  -6.000  -0.5569   0.00912   0.00295   0.0020   0.4912   0.0171
  -5.900  -0.5459   0.00907   0.00288   0.0021   0.4850   0.0174
  -5.800  -0.5349   0.00903   0.00282   0.0022   0.4781   0.0177
  -5.700  -0.5238   0.00898   0.00277   0.0022   0.4730   0.0180
  -5.600  -0.5128   0.00895   0.00271   0.0023   0.4672   0.0182
  -5.500  -0.5017   0.00890   0.00265   0.0024   0.4618   0.0185
  -5.400  -0.4906   0.00887   0.00260   0.0024   0.4554   0.0188
  -5.300  -0.4794   0.00883   0.00255   0.0025   0.4502   0.0190
  -5.200  -0.4683   0.00881   0.00250   0.0025   0.4436   0.0192
  -5.100  -0.4572   0.00876   0.00245   0.0026   0.4382   0.0196
  -5.000  -0.4461   0.00873   0.00240   0.0027   0.4317   0.0200
  -4.900  -0.4350   0.00869   0.00235   0.0027   0.4260   0.0205
  -4.800  -0.4239   0.00866   0.00230   0.0028   0.4201   0.0209
  -4.700  -0.4127   0.00863   0.00226   0.0028   0.4156   0.0212
  -4.600  -0.4015   0.00860   0.00221   0.0029   0.4093   0.0215
  -4.500  -0.3903   0.00857   0.00217   0.0029   0.4051   0.0218
  -4.400  -0.3791   0.00853   0.00213   0.0029   0.4005   0.0222
  -4.300  -0.3679   0.00850   0.00208   0.0030   0.3964   0.0226
  -4.200  -0.3567   0.00846   0.00204   0.0030   0.3928   0.0232
  -4.100  -0.3455   0.00844   0.00200   0.0031   0.3877   0.0238
  -4.000  -0.3343   0.00841   0.00196   0.0031   0.3843   0.0242
  -3.900  -0.3230   0.00838   0.00193   0.0031   0.3806   0.0246
  -3.800  -0.3118   0.00836   0.00189   0.0032   0.3757   0.0251
  -3.700  -0.3005   0.00832   0.00185   0.0032   0.3729   0.0257
  -3.600  -0.2893   0.00830   0.00182   0.0032   0.3686   0.0262
  -3.500  -0.2780   0.00827   0.00178   0.0033   0.3655   0.0268
  -3.400  -0.2667   0.00825   0.00175   0.0033   0.3621   0.0273
  -3.300  -0.2554   0.00822   0.00172   0.0033   0.3593   0.0277
  -3.200  -0.2441   0.00819   0.00169   0.0033   0.3564   0.0285
  -3.100  -0.2328   0.00817   0.00166   0.0034   0.3521   0.0293
  -3.000  -0.2216   0.00815   0.00163   0.0034   0.3491   0.0301
  -2.900  -0.2102   0.00813   0.00160   0.0034   0.3459   0.0308
  -2.800  -0.1989   0.00810   0.00157   0.0034   0.3430   0.0315
  -2.700  -0.1876   0.00808   0.00155   0.0034   0.3400   0.0323
  -2.600  -0.1763   0.00806   0.00152   0.0034   0.3373   0.0333
  -2.500  -0.1649   0.00804   0.00150   0.0035   0.3351   0.0341
  -2.400  -0.1535   0.00802   0.00147   0.0035   0.3326   0.0350
  -2.300  -0.1422   0.00799   0.00145   0.0035   0.3300   0.0359
  -2.200  -0.1308   0.00797   0.00143   0.0035   0.3275   0.0372
  -2.100  -0.1195   0.00795   0.00141   0.0035   0.3256   0.0383
  -2.000  -0.1081   0.00794   0.00139   0.0035   0.3234   0.0391
  -1.900  -0.0967   0.00791   0.00137   0.0035   0.3213   0.0405
  -1.800  -0.0853   0.00789   0.00135   0.0035   0.3189   0.0418
  -1.700  -0.0740   0.00788   0.00133   0.0035   0.3166   0.0430
  -1.600  -0.0625   0.00787   0.00131   0.0035   0.3142   0.0439
  -1.500  -0.0512   0.00785   0.00130   0.0035   0.3125   0.0455
  -1.400  -0.0398   0.00783   0.00128   0.0035   0.3105   0.0469
  -1.300  -0.0284   0.00781   0.00127   0.0035   0.3081   0.0488
  -1.200  -0.0170   0.00780   0.00125   0.0035   0.3061   0.0505
  -1.100  -0.0056   0.00779   0.00124   0.0035   0.3032   0.0525
  -1.000   0.0058   0.00777   0.00123   0.0035   0.3019   0.0542
  -0.900   0.0172   0.00776   0.00121   0.0035   0.3001   0.0565
  -0.800   0.0286   0.00774   0.00120   0.0035   0.2984   0.0589
  -0.700   0.0401   0.00772   0.00119   0.0034   0.2966   0.0608
  -0.600   0.0515   0.00772   0.00118   0.0034   0.2944   0.0625
