  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 24112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   4.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.8550   0.00000  -0.00109   0.0138   0.0000   0.0000
  -7.900  -0.8429   0.00000  -0.00108   0.0137   0.0000   0.0000
  -7.800  -0.8309   0.00000  -0.00108   0.0136   0.0000   0.0000
  -7.700  -0.8189   0.00000  -0.00108   0.0136   0.0000   0.0000
  -7.600  -0.8069   0.00000  -0.00108   0.0135   0.0000   0.0000
  -7.500  -0.7948   0.00000  -0.00108   0.0134   0.0000   0.0000
  -7.400  -0.7828   0.00000  -0.00108   0.0133   0.0000   0.0000
  -7.300  -0.7708   0.00000  -0.00107   0.0132   0.0000   0.0000
  -7.200  -0.7587   0.00000  -0.00107   0.0132   0.0000   0.0000
  -7.100  -0.7467   0.00000  -0.00107   0.0131   0.0000   0.0000
  -7.000  -0.7346   0.00000  -0.00107   0.0130   0.0000   0.0000
  -6.900  -0.7226   0.00000  -0.00107   0.0129   0.0000   0.0000
  -6.800  -0.7105   0.00000  -0.00107   0.0128   0.0000   0.0000
  -6.700  -0.6985   0.00000  -0.00106   0.0127   0.0000   0.0000
  -6.600  -0.6864   0.00000  -0.00106   0.0126   0.0000   0.0000
  -6.500  -0.6744   0.00000  -0.00106   0.0125   0.0000   0.0000
  -6.400  -0.6623   0.00000  -0.00106   0.0125   0.0000   0.0000
  -6.300  -0.6503   0.00000  -0.00106   0.0124   0.0000   0.0000
  -6.200  -0.6382   0.00000  -0.00106   0.0123   0.0000   0.0000
  -6.100  -0.6261   0.00000  -0.00106   0.0122   0.0000   0.0000
  -6.000  -0.6141   0.00000  -0.00105   0.0121   0.0000   0.0000
  -5.900  -0.6020   0.00000  -0.00105   0.0120   0.0000   0.0000
  -5.800  -0.5900   0.00000  -0.00105   0.0119   0.0000   0.0000
  -5.700  -0.5779   0.00000  -0.00105   0.0118   0.0000   0.0000
  -5.600  -0.5658   0.00000  -0.00105   0.0117   0.0000   0.0000
  -5.500  -0.5537   0.00000  -0.00105   0.0116   0.0000   0.0000
  -5.400  -0.5417   0.00000  -0.00105   0.0115   0.0000   0.0000
  -5.300  -0.5296   0.00000  -0.00104   0.0114   0.0000   0.0000
  -5.200  -0.5175   0.00000  -0.00104   0.0113   0.0000   0.0000
  -5.100  -0.5054   0.00000  -0.00104   0.0112   0.0000   0.0000
  -5.000  -0.4934   0.00000  -0.00104   0.0111   0.0000   0.0000
  -4.900  -0.4813   0.00000  -0.00104   0.0110   0.0000   0.0000
  -4.800  -0.4692   0.00000  -0.00104   0.0109   0.0000   0.0000
  -4.700  -0.4571   0.00000  -0.00104   0.0108   0.0000   0.0000
  -4.600  -0.4450   0.00000  -0.00103   0.0107   0.0000   0.0000
  -4.500  -0.4329   0.00000  -0.00103   0.0106   0.0000   0.0000
  -4.400  -0.4208   0.00000  -0.00103   0.0105   0.0000   0.0000
  -4.300  -0.4088   0.00000  -0.00103   0.0104   0.0000   0.0000
  -4.200  -0.3967   0.00000  -0.00103   0.0103   0.0000   0.0000
  -4.100  -0.3846   0.00000  -0.00103   0.0102   0.0000   0.0000
  -4.000  -0.3725   0.00000  -0.00103   0.0101   0.0000   0.0000
  -3.900  -0.3604   0.00000  -0.00103   0.0100   0.0000   0.0000
