  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 24112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.300 e 6     Ncrit =   4.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.000  -1.0844   0.01342   0.00851  -0.0055   1.0000   0.0109
 -10.900  -1.0745   0.01328   0.00837  -0.0053   1.0000   0.0110
 -10.800  -1.0646   0.01315   0.00823  -0.0050   1.0000   0.0111
 -10.700  -1.0547   0.01302   0.00809  -0.0048   1.0000   0.0112
 -10.600  -1.0425   0.01288   0.00794  -0.0050   0.9974   0.0112
 -10.500  -1.0305   0.01273   0.00778  -0.0052   0.9943   0.0114
 -10.400  -1.0184   0.01258   0.00763  -0.0055   0.9906   0.0115
 -10.300  -1.0063   0.01243   0.00748  -0.0057   0.9864   0.0116
 -10.200  -0.9941   0.01229   0.00733  -0.0059   0.9812   0.0117
 -10.100  -0.9823   0.01216   0.00719  -0.0060   0.9748   0.0118
 -10.000  -0.9713   0.01205   0.00706  -0.0060   0.9669   0.0119
  -9.900  -0.9614   0.01194   0.00694  -0.0057   0.9566   0.0120
  -9.800  -0.9521   0.01185   0.00681  -0.0052   0.9449   0.0121
  -9.700  -0.9430   0.01176   0.00669  -0.0047   0.9318   0.0122
  -9.600  -0.9340   0.01169   0.00657  -0.0042   0.9160   0.0123
  -9.500  -0.9246   0.01163   0.00645  -0.0038   0.8993   0.0124
  -9.400  -0.9152   0.01158   0.00633  -0.0034   0.8786   0.0125
  -9.300  -0.9054   0.01153   0.00621  -0.0030   0.8578   0.0126
  -9.200  -0.8956   0.01149   0.00609  -0.0027   0.8348   0.0127
  -9.100  -0.8855   0.01144   0.00598  -0.0025   0.8149   0.0127
  -9.000  -0.8753   0.01138   0.00586  -0.0022   0.7951   0.0128
  -8.900  -0.8651   0.01131   0.00574  -0.0020   0.7794   0.0130
  -8.800  -0.8547   0.01123   0.00562  -0.0018   0.7668   0.0131
  -8.700  -0.8442   0.01116   0.00551  -0.0017   0.7563   0.0132
  -8.600  -0.8337   0.01108   0.00540  -0.0015   0.7465   0.0133
  -8.500  -0.8232   0.01101   0.00530  -0.0013   0.7365   0.0135
  -8.400  -0.8127   0.01094   0.00520  -0.0012   0.7257   0.0137
  -8.200  -0.7914   0.01080   0.00500  -0.0009   0.7056   0.0140
  -8.100  -0.7808   0.01074   0.00490  -0.0008   0.6961   0.0141
  -8.000  -0.7701   0.01067   0.00481  -0.0006   0.6875   0.0142
  -7.800  -0.7487   0.01053   0.00462  -0.0004   0.6714   0.0145
  -7.700  -0.7380   0.01046   0.00452  -0.0003   0.6619   0.0147
  -7.600  -0.7273   0.01039   0.00443  -0.0001   0.6536   0.0149
  -7.500  -0.7165   0.01032   0.00434  -0.0000   0.6458   0.0150
  -7.400  -0.7058   0.01026   0.00425   0.0001   0.6372   0.0152
  -7.300  -0.6949   0.01020   0.00417   0.0002   0.6299   0.0154
  -7.200  -0.6841   0.01014   0.00408   0.0003   0.6215   0.0156
  -7.100  -0.6733   0.01009   0.00400   0.0004   0.6132   0.0157
  -7.000  -0.6624   0.01003   0.00392   0.0005   0.6053   0.0159
  -6.900  -0.6516   0.00998   0.00384   0.0006   0.5984   0.0161
  -6.800  -0.6408   0.00992   0.00376   0.0007   0.5895   0.0163
  -6.700  -0.6300   0.00986   0.00368   0.0008   0.5812   0.0166
  -6.600  -0.6191   0.00981   0.00361   0.0009   0.5729   0.0168
  -6.500  -0.6082   0.00976   0.00353   0.0010   0.5650   0.0171
  -6.400  -0.5973   0.00971   0.00346   0.0011   0.5574   0.0173
  -6.300  -0.5864   0.00967   0.00339   0.0012   0.5494   0.0175
  -6.200  -0.5754   0.00962   0.00332   0.0013   0.5414   0.0177
  -6.100  -0.5645   0.00958   0.00326   0.0014   0.5347   0.0179
  -6.000  -0.5535   0.00953   0.00319   0.0015   0.5274   0.0182
