  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 24112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.8516   0.00258  -0.00195  -0.0054   0.9888   0.0152
  -8.000  -0.7487   0.00228  -0.00239  -0.0034   0.9234   0.0167
  -7.000  -0.6476   0.00208  -0.00290  -0.0010   0.8204   0.0189
  -6.000  -0.5418   0.00194  -0.00332   0.0004   0.7222   0.0216
  -5.000  -0.4343   0.00182  -0.00368   0.0014   0.6291   0.0256
  -4.000  -0.3251   0.00174  -0.00396   0.0021   0.5459   0.0311
  -3.000  -0.2151   0.00169  -0.00419   0.0026   0.4714   0.0398
  -2.000  -0.1043   0.00164  -0.00434   0.0029   0.4111   0.0551
  -1.000   0.0070   0.00160  -0.00440   0.0031   0.3678   0.0857
   0.000   0.1167   0.00147  -0.00423   0.0035   0.3374   0.2284
   1.000   0.2164   0.00106  -0.00324   0.0055   0.3145   0.7403
   2.000   0.3254   0.00101  -0.00300   0.0063   0.2941   0.8703
   3.000   0.4348   0.00102  -0.00291   0.0070   0.2741   0.9342
   4.000   0.5453   0.00106  -0.00291   0.0073   0.2538   0.9570
   5.000   0.6533   0.00111  -0.00291   0.0079   0.2321   0.9750
   6.000   0.7631   0.00118  -0.00294   0.0079   0.2070   0.9878
   7.000   0.8839   0.00129  -0.00295   0.0049   0.1761   0.9929
   8.000   1.0055   0.00148  -0.00293   0.0013   0.1389   0.9954
   9.000   1.1220   0.00182  -0.00281  -0.0018   0.0947   0.9979
  10.000   1.2303   0.00239  -0.00246  -0.0037   0.0557   1.0000
  11.000   1.3004   0.00309  -0.00184   0.0027   0.0362   1.0000
  12.000   1.3740   0.00394  -0.00100   0.0077   0.0254   1.0000
  13.000   1.4463   0.00502   0.00011   0.0119   0.0189   1.0000
  14.000   1.4979   0.00631   0.00152   0.0186   0.0154   1.0000
  15.000   1.5210   0.00870   0.00410   0.0253   0.0131   1.0000
  16.000   1.5153   0.01550   0.01119   0.0280   0.0117   1.0000
  17.000   1.4705   0.03156   0.02763   0.0264   0.0110   1.0000
  18.000   1.3655   0.05957   0.05609   0.0222   0.0108   1.0000
  19.000   1.2561   0.08833   0.08528   0.0158   0.0107   1.0000
  20.000   1.1652   0.11220   0.10950   0.0076   0.0104   1.0000
  21.000   1.0658   0.12930   0.12695  -0.0003   0.0102   1.0000
  22.000   1.0029   0.14382   0.14175  -0.0091   0.0097   1.0000
