  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 24112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.000 e 6     Ncrit =   4.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.7670   0.01093   0.00503  -0.0011   0.7169   0.0145
  -7.900  -0.7565   0.01087   0.00493  -0.0010   0.7056   0.0146
  -7.800  -0.7459   0.01079   0.00483  -0.0008   0.6974   0.0148
  -7.700  -0.7352   0.01071   0.00473  -0.0007   0.6888   0.0150
  -7.600  -0.7246   0.01064   0.00463  -0.0006   0.6805   0.0152
  -7.500  -0.7139   0.01057   0.00454  -0.0004   0.6718   0.0154
  -7.400  -0.7032   0.01050   0.00444  -0.0003   0.6643   0.0155
  -7.300  -0.6924   0.01044   0.00435  -0.0002   0.6552   0.0157
  -7.200  -0.6817   0.01038   0.00427  -0.0001   0.6468   0.0160
  -7.100  -0.6709   0.01032   0.00418   0.0000   0.6377   0.0162
  -7.000  -0.6601   0.01027   0.00410   0.0001   0.6288   0.0164
  -6.900  -0.6493   0.01021   0.00402   0.0003   0.6209   0.0166
  -6.800  -0.6385   0.01017   0.00394   0.0004   0.6119   0.0168
  -6.700  -0.6276   0.01010   0.00385   0.0005   0.6035   0.0170
  -6.600  -0.6169   0.01005   0.00377   0.0006   0.5950   0.0172
  -6.500  -0.6060   0.00999   0.00369   0.0007   0.5862   0.0175
  -6.400  -0.5952   0.00994   0.00361   0.0008   0.5784   0.0177
  -6.300  -0.5843   0.00988   0.00354   0.0009   0.5709   0.0180
  -6.200  -0.5734   0.00983   0.00346   0.0010   0.5631   0.0182
  -6.100  -0.5625   0.00979   0.00339   0.0011   0.5553   0.0184
  -6.000  -0.5515   0.00974   0.00332   0.0012   0.5480   0.0187
  -5.900  -0.5406   0.00969   0.00326   0.0012   0.5413   0.0189
  -5.800  -0.5296   0.00965   0.00319   0.0013   0.5345   0.0191
  -5.600  -0.5077   0.00955   0.00306   0.0015   0.5202   0.0197
  -5.500  -0.4968   0.00951   0.00299   0.0016   0.5138   0.0201
  -5.400  -0.4858   0.00946   0.00293   0.0017   0.5071   0.0205
  -5.300  -0.4748   0.00943   0.00287   0.0017   0.4989   0.0209
  -5.200  -0.4637   0.00939   0.00281   0.0018   0.4929   0.0212
  -5.100  -0.4527   0.00935   0.00275   0.0019   0.4871   0.0215
  -5.000  -0.4416   0.00931   0.00270   0.0019   0.4803   0.0218
